Column,Value,Count,Percentage
Age recode with <1 year olds,65-69 years,694,10.51833889
Age recode with <1 year olds,70-74 years,629,9.533191876
Age recode with <1 year olds,60-64 years,597,9.048196423
Age recode with <1 year olds,55-59 years,558,8.457108215
Age recode with <1 year olds,75-79 years,476,7.214307366
Age recode with <1 year olds,50-54 years,445,6.744468021
Age recode with <1 year olds,80-84 years,385,5.835101546
Age recode with <1 year olds,45-49 years,366,5.547135496
Age recode with <1 year olds,85+ years,357,5.410730524
Age recode with <1 year olds,40-44 years,321,4.86511064
Age recode with <1 year olds,35-39 years,286,4.334646863
Age recode with <1 year olds,15-19 years,273,4.13761746
Age recode with <1 year olds,30-34 years,256,3.879963625
Age recode with <1 year olds,10-14 years,233,3.531373143
Age recode with <1 year olds,25-29 years,229,3.470748712
Age recode with <1 year olds,20-24 years,190,2.879660503
Age recode with <1 year olds,05-09 years,136,2.061230676
Age recode with <1 year olds,01-04 years,99,1.500454683
Age recode with <1 year olds,00 years,68,1.030615338
"Race recode (White, Black, Other)",White,4982,75.50772962
"Race recode (White, Black, Other)","Other (American Indian/AK Native, Asian/Pacific Islander)",931,14.11033647
"Race recode (White, Black, Other)",Black,608,9.21491361
"Race recode (White, Black, Other)",Unknown,77,1.167020309
Sex,Male,3672,55.65322825
Sex,Female,2926,44.34677175
Year of diagnosis,2019,1138,17.2476508
Year of diagnosis,2021,1124,17.03546529
Year of diagnosis,2017,1119,16.95968475
Year of diagnosis,2016,1093,16.56562595
Year of diagnosis,2020,1091,16.53531373
Year of diagnosis,2018,1033,15.65625947
ICD-O-3 Hist/behav,8802/3: Giant cell sarcoma,683,10.3516217
ICD-O-3 Hist/behav,"8890/3: Leiomyosarcoma, NOS",542,8.214610488
ICD-O-3 Hist/behav,8811/3: Fibromyxosarcoma,448,6.789936344
ICD-O-3 Hist/behav,"8851/3: Liposarcoma, well differentiated",355,5.380418309
ICD-O-3 Hist/behav,"9220/3: Chondrosarcoma, NOS",348,5.274325553
ICD-O-3 Hist/behav,"9180/3: Osteosarcoma, NOS",333,5.046983935
ICD-O-3 Hist/behav,8801/3: Spindle cell sarcoma,279,4.228554107
ICD-O-3 Hist/behav,9120/3: Hemangiosarcoma,253,3.834495302
ICD-O-3 Hist/behav,"8800/3: Sarcoma, NOS",253,3.834495302
ICD-O-3 Hist/behav,8858/3: Dedifferentiated liposarcoma,229,3.470748712
ICD-O-3 Hist/behav,9260/3: Ewing sarcoma,227,3.440436496
ICD-O-3 Hist/behav,8852/3: Myxoid liposarcoma,199,3.016065474
ICD-O-3 Hist/behav,"9370/3: Chordoma, NOS",170,2.576538345
ICD-O-3 Hist/behav,9540/3: Malignant peripheral nerve sheath tumor,161,2.440133374
ICD-O-3 Hist/behav,"8832/3: Dermatofibrosarcoma, NOS",132,2.000606244
ICD-O-3 Hist/behav,8805/3: Undifferentiated sarcoma,106,1.606547439
ICD-O-3 Hist/behav,"8850/3: Liposarcoma, NOS",106,1.606547439
ICD-O-3 Hist/behav,8854/3: Pleomorphic liposarcoma,97,1.470142467
ICD-O-3 Hist/behav,"9041/3: Synovial sarcoma, spindle cell",82,1.242800849
